date,pit_id,species,river,site,site_no,searchday,length,hallprint_color,hallprint1,hallprint2,sex,recap,event,clay,silt,sand,gravel,cobble,boulder,bedrock,flow1,flow2,flow3,flow4,depth1,depth2,depth3,depth4,manhours,time,people,temp,do,cond,ph,notes
8/3/2022,NA,,Neches,Rockland,2,2,86,Pink,R387,R387,NA,recap,2,50,50,0,0,0,0,0,0.12,0.01,NA,NA,2.6,NA,NA,NA,3,45,4,26.94,7.78,127.9,8.48,
8/4/2022,NA,CYPU,Neches,Rockland,2,3,21,Pink,R743,R743,NA,NEW,3,0,90,10,0,0,0,0,0,0,NA,NA,1.1,0.5,NA,NA,4,20,12,33.5,10.72,303.7,NA,
8/4/2022,NA,CYPU,Neches,Rockland,2,3,17,Pink,R742,R742,NA,NEW,3,0,90,10,0,0,0,0,0,0,NA,NA,1.1,0.5,NA,NA,4,20,12,33.5,10.72,303.7,NA,
8/4/2022,NA,OBRE,Neches,Rockland,2,3,45,Pink,R741,R741,NA,NEW,3,0,90,10,0,0,0,0,0,0,NA,NA,1.1,0.5,NA,NA,4,20,12,33.5,10.72,303.7,NA,
8/4/2022,NA,OBRE,Neches,Rockland,2,3,52,Pink,R740,R740,NA,NEW,3,0,90,10,0,0,0,0,0,0,NA,NA,1.1,0.5,NA,NA,4,20,12,33.5,10.72,303.7,NA,
8/4/2022,NA,OBRE,Neches,Rockland,2,3,24,Pink,R739,R739,NA,NEW,3,0,90,10,0,0,0,0,0,0,NA,NA,1.1,0.5,NA,NA,4,20,12,33.5,10.72,303.7,NA,
8/4/2022,NA,OBRE,Neches,Rockland,2,3,21,Pink,R738,R738,NA,NEW,3,0,90,10,0,0,0,0,0,0,NA,NA,1.1,0.5,NA,NA,4,20,12,33.5,10.72,303.7,NA,
8/4/2022,NA,OBRE,Neches,Rockland,2,3,22,Pink,R737,R737,NA,NEW,3,0,90,10,0,0,0,0,0,0,NA,NA,1.1,0.5,NA,NA,4,20,12,33.5,10.72,303.7,NA,
8/4/2022,3D6.1D5932FEED,POAM,Neches,Rockland,2,3,69,Pink,R729,R729,NA,NEW,3,0,90,10,0,0,0,0,0,0,NA,NA,1.1,0.5,NA,NA,4,20,12,33.5,10.72,303.7,NA,
8/4/2022,3D6.1D5932FCBF,POAM,Neches,Rockland,2,3,86,Pink,R728,R728,NA,NEW,3,0,90,10,0,0,0,0,0,0,NA,NA,1.1,0.5,NA,NA,4,20,12,33.5,10.72,303.7,NA,
8/4/2022,3D6.1D5933021D,PLRI,Neches,Rockland,2,3,50,Pink,R727,R727,NA,NEW,3,0,90,10,0,0,0,0,0,0,NA,NA,1.1,0.5,NA,NA,4,20,12,33.5,10.72,303.7,NA,
8/4/2022,NA,AMPL,Neches,Rockland,2,3,70,Pink,R726,R726,NA,NEW,3,0,90,10,0,0,0,0,0,0,NA,NA,1.1,0.5,NA,NA,4,20,12,33.5,10.72,303.7,NA,
8/4/2022,NA,AMPL,Neches,Rockland,2,3,87,Pink,R725,R725,NA,NEW,3,0,90,10,0,0,0,0,0,0,NA,NA,1.1,0.5,NA,NA,4,20,12,33.5,10.72,303.7,NA,
8/4/2022,NA,AMPL,Neches,Rockland,2,3,70,Pink,R725,R725,NA,NEW,3,0,90,10,0,0,0,0,0,0,NA,NA,1.1,0.5,NA,NA,4,20,12,33.5,10.72,303.7,NA,
8/4/2022,NA,AMPL,Neches,Rockland,2,3,78,Pink,R724,R724,NA,NEW,3,0,90,10,0,0,0,0,0,0,NA,NA,1.1,0.5,NA,NA,4,20,12,33.5,10.72,303.7,NA,
8/4/2022,NA,AMPL,Neches,Rockland,2,3,79,Pink,R722,R722,NA,NEW,3,0,90,10,0,0,0,0,0,0,NA,NA,1.1,0.5,NA,NA,4,20,12,33.5,10.72,303.7,NA,
8/4/2022,NA,AMPL,Neches,Rockland,2,3,82,Pink,R721,R721,NA,NEW,3,0,90,10,0,0,0,0,0,0,NA,NA,1.1,0.5,NA,NA,4,20,12,33.5,10.72,303.7,NA,
8/4/2022,NA,AMPL,Neches,Rockland,2,3,71,Pink,R720,R720,NA,NEW,3,0,90,10,0,0,0,0,0,0,NA,NA,1.1,0.5,NA,NA,4,20,12,33.5,10.72,303.7,NA,
8/4/2022,NA,AMPL,Neches,Rockland,2,3,80,Pink,R718,R718,NA,NEW,3,0,90,10,0,0,0,0,0,0,NA,NA,1.1,0.5,NA,NA,4,20,12,33.5,10.72,303.7,NA,
8/4/2022,NA,AMPL,Neches,Rockland,2,3,89,Pink,R717,R717,NA,NEW,3,0,90,10,0,0,0,0,0,0,NA,NA,1.1,0.5,NA,NA,4,20,12,33.5,10.72,303.7,NA,
8/4/2022,NA,AMPL,Neches,Rockland,2,3,74,Pink,R716,R716,NA,NEW,3,0,90,10,0,0,0,0,0,0,NA,NA,1.1,0.5,NA,NA,4,20,12,33.5,10.72,303.7,NA,
