rownum,date,hallprint_id,pit_id,species,river,site,site_no,length,hallprint_color,hallprint1,hallprint2,sex,recap,event,manhours
50,10/5/2021,GLUE-GLUE-,NA,AMPL,Neches,Lower Neches,1,-,GLUE,-,-,NA,NEW,1,3
51,10/5/2021,GLUE-GLUE-,NA,AMPL,Neches,Lower Neches,1,-,GLUE,-,-,NA,NEW,1,3
52,10/5/2021,GLUE-GLUE-,NA,AMPL,Neches,Lower Neches,1,-,GLUE,-,-,NA,NEW,1,3
53,10/5/2021,GLUE-GLUE-,NA,AMPL,Neches,Lower Neches,1,-,GLUE,-,-,NA,NEW,1,3
54,10/5/2021,GLUE-GLUE-,NA,AMPL,Neches,Lower Neches,1,-,GLUE,-,-,NA,NEW,1,3
55,10/5/2021,GLUE-GLUE-,NA,AMPL,Neches,Lower Neches,1,-,GLUE,-,-,NA,NEW,1,3
56,10/5/2021,GLUE-GLUE-,NA,AMPL,Neches,Lower Neches,1,-,GLUE,-,-,NA,NEW,1,3
57,10/5/2021,GLUE-GLUE-,NA,AMPL,Neches,Lower Neches,1,-,GLUE,-,-,NA,NEW,1,3
58,10/5/2021,GLUE-GLUE-,NA,AMPL,Neches,Lower Neches,1,-,GLUE,-,-,NA,NEW,1,3
59,10/5/2021,GLUE-GLUE-,NA,AMPL,Neches,Lower Neches,1,-,GLUE,-,-,NA,NEW,1,3
60,10/5/2021,GLUE-GLUE-,NA,AMPL,Neches,Lower Neches,1,-,GLUE,-,-,NA,NEW,1,3
61,10/5/2021,GLUE-GLUE-,NA,AMPL,Neches,Lower Neches,1,-,GLUE,-,-,NA,NEW,1,3
62,10/5/2021,GLUE-GLUE-,NA,AMPL,Neches,Lower Neches,1,-,GLUE,-,-,NA,NEW,1,3
63,10/5/2021,GLUE-GLUE-,NA,AMPL,Neches,Lower Neches,1,-,GLUE,-,-,NA,NEW,1,3
64,10/5/2021,GLUE-GLUE-,NA,AMPL,Neches,Lower Neches,1,-,GLUE,-,-,NA,NEW,1,3
65,10/5/2021,GLUE-GLUE-,NA,AMPL,Neches,Lower Neches,1,-,GLUE,-,-,NA,NEW,1,3
66,10/5/2021,GLUE-GLUE-,NA,AMPL,Neches,Lower Neches,1,-,GLUE,-,-,NA,NEW,1,3
67,10/5/2021,GLUE-GLUE-,NA,AMPL,Neches,Lower Neches,1,-,GLUE,-,-,NA,NEW,1,3
68,10/5/2021,GLUE-GLUE-,NA,AMPL,Neches,Lower Neches,1,-,GLUE,-,-,NA,NEW,1,3
69,10/5/2021,GLUE-GLUE-,NA,AMPL,Neches,Lower Neches,1,-,GLUE,-,-,NA,NEW,1,3
70,10/5/2021,GLUE-GLUE-,NA,AMPL,Neches,Lower Neches,1,-,GLUE,-,-,NA,NEW,1,3
71,10/5/2021,GLUE-GLUE-,NA,AMPL,Neches,Lower Neches,1,-,GLUE,-,-,NA,NEW,1,3
72,10/5/2021,GLUE-GLUE-,NA,AMPL,Neches,Lower Neches,1,-,GLUE,-,-,NA,NEW,1,3
73,10/5/2021,GLUE-GLUE-,NA,AMPL,Neches,Lower Neches,1,-,GLUE,-,-,NA,NEW,1,3
74,10/5/2021,GLUE-GLUE-,NA,AMPL,Neches,Lower Neches,1,-,GLUE,-,-,NA,NEW,1,3
75,10/5/2021,GLUE-GLUE-,NA,AMPL,Neches,Lower Neches,1,-,GLUE,-,-,NA,NEW,1,3
76,10/5/2021,GLUE-GLUE-,NA,AMPL,Neches,Lower Neches,1,-,GLUE,-,-,NA,NEW,1,3
77,10/5/2021,GLUE-GLUE-,NA,AMPL,Neches,Lower Neches,1,-,GLUE,-,-,NA,NEW,1,3
78,10/5/2021,GLUE-GLUE-,NA,AMPL,Neches,Lower Neches,1,-,GLUE,-,-,NA,NEW,1,3
79,10/5/2021,GLUE-GLUE-,NA,AMPL,Neches,Lower Neches,1,-,GLUE,-,-,NA,NEW,1,3
80,10/5/2021,GLUE-GLUE-,NA,AMPL,Neches,Lower Neches,1,-,GLUE,-,-,NA,NEW,1,3
81,10/5/2021,GLUE-GLUE-,NA,AMPL,Neches,Lower Neches,1,-,GLUE,-,-,NA,NEW,1,3
82,10/5/2021,GLUE-GLUE-,NA,AMPL,Neches,Lower Neches,1,-,GLUE,-,-,NA,NEW,1,3
83,10/5/2021,GLUE-GLUE-,NA,AMPL,Neches,Lower Neches,1,-,GLUE,-,-,NA,NEW,1,3
84,10/5/2021,GLUE-GLUE-,NA,AMPL,Neches,Lower Neches,1,-,GLUE,-,-,NA,NEW,1,3
85,10/5/2021,GLUE-GLUE-,NA,AMPL,Neches,Lower Neches,1,-,GLUE,-,-,NA,NEW,1,3
86,10/5/2021,GLUE-GLUE-,NA,AMPL,Neches,Lower Neches,1,-,GLUE,-,-,NA,NEW,1,3
87,10/5/2021,GLUE-GLUE-,NA,AMPL,Neches,Lower Neches,1,-,GLUE,-,-,NA,NEW,1,3
88,10/5/2021,GLUE-GLUE-,NA,AMPL,Neches,Lower Neches,1,-,GLUE,-,-,NA,NEW,1,3
89,10/5/2021,GLUE-GLUE-,NA,AMPL,Neches,Lower Neches,1,-,GLUE,-,-,NA,NEW,1,3
90,10/5/2021,GLUE-GLUE-,NA,AMPL,Neches,Lower Neches,1,-,GLUE,-,-,NA,NEW,1,3
91,10/5/2021,GLUE-GLUE-,NA,AMPL,Neches,Lower Neches,1,-,GLUE,-,-,NA,NEW,1,3
92,10/5/2021,GLUE-GLUE-,NA,AMPL,Neches,Lower Neches,1,-,GLUE,-,-,NA,NEW,1,3
93,10/5/2021,GLUE-GLUE-,NA,AMPL,Neches,Lower Neches,1,-,GLUE,-,-,NA,NEW,1,3
94,10/5/2021,GLUE-GLUE-,NA,AMPL,Neches,Lower Neches,1,-,GLUE,-,-,NA,NEW,1,3
95,10/5/2021,GLUE-GLUE-,NA,AMPL,Neches,Lower Neches,1,-,GLUE,-,-,NA,NEW,1,3
96,10/5/2021,GLUE-GLUE-,NA,AMPL,Neches,Lower Neches,1,-,GLUE,-,-,NA,NEW,1,3
97,10/5/2021,GLUE-GLUE-,NA,AMPL,Neches,Lower Neches,1,-,GLUE,-,-,NA,NEW,1,3
98,10/5/2021,GLUE-GLUE-,NA,AMPL,Neches,Lower Neches,1,-,GLUE,-,-,NA,NEW,1,3
99,10/5/2021,GLUE-GLUE-,NA,AMPL,Neches,Lower Neches,1,-,GLUE,-,-,NA,NEW,1,3
100,10/5/2021,GLUE-GLUE-,NA,AMPL,Neches,Lower Neches,1,-,GLUE,-,-,NA,NEW,1,3
101,10/5/2021,GLUE-GLUE-,NA,AMPL,Neches,Lower Neches,1,-,GLUE,-,-,NA,NEW,1,3
102,10/5/2021,GLUE-GLUE-,NA,AMPL,Neches,Lower Neches,1,-,GLUE,-,-,NA,NEW,1,3
103,10/5/2021,GLUE-GLUE-,NA,AMPL,Neches,Lower Neches,1,-,GLUE,-,-,NA,NEW,1,3
104,10/5/2021,GLUE-GLUE-,NA,AMPL,Neches,Lower Neches,1,-,GLUE,-,-,NA,NEW,1,3
105,10/5/2021,GLUE-GLUE-,NA,AMPL,Neches,Lower Neches,1,-,GLUE,-,-,NA,NEW,1,3
106,10/5/2021,GLUE-GLUE-,NA,AMPL,Neches,Lower Neches,1,-,GLUE,-,-,NA,NEW,1,3
107,10/5/2021,GLUE-GLUE-,NA,AMPL,Neches,Lower Neches,1,-,GLUE,-,-,NA,NEW,1,3
135,10/5/2021,Y-Y-,NA,CYPU,Neches,Lower Neches,1,-,Yellow,-,-,NA,NEW,1,3
136,10/5/2021,Y-Y-,NA,CYPU,Neches,Lower Neches,1,-,Yellow,-,-,NA,NEW,1,3
137,10/5/2021,Y-Y-,NA,CYPU,Neches,Lower Neches,1,-,Yellow,-,-,NA,NEW,1,3
138,10/5/2021,Y-Y-,NA,CYPU,Neches,Lower Neches,1,-,Yellow,-,-,NA,NEW,1,3
139,10/5/2021,Y-Y-,NA,CYPU,Neches,Lower Neches,1,-,Yellow,-,-,NA,NEW,1,3
140,10/5/2021,Y-Y-,NA,CYPU,Neches,Lower Neches,1,-,Yellow,-,-,NA,NEW,1,3
141,10/5/2021,Y-Y-,NA,CYPU,Neches,Lower Neches,1,-,Yellow,-,-,NA,NEW,1,3
142,10/5/2021,Y-Y-,NA,CYPU,Neches,Lower Neches,1,-,Yellow,-,-,NA,NEW,1,3
143,10/5/2021,Y-Y-,NA,CYPU,Neches,Lower Neches,1,-,Yellow,-,-,NA,NEW,1,3
144,10/5/2021,Y-Y-,NA,CYPU,Neches,Lower Neches,1,-,Yellow,-,-,NA,NEW,1,3
145,10/5/2021,Y-Y-,NA,CYPU,Neches,Lower Neches,1,-,Yellow,-,-,NA,NEW,1,3
146,10/5/2021,Y-Y-,NA,CYPU,Neches,Lower Neches,1,-,Yellow,-,-,NA,NEW,1,3
147,10/5/2021,Y-Y-,NA,CYPU,Neches,Lower Neches,1,-,Yellow,-,-,NA,NEW,1,3
148,10/5/2021,Y-Y-,NA,CYPU,Neches,Lower Neches,1,-,Yellow,-,-,NA,NEW,1,3
149,10/5/2021,Y-Y-,NA,CYPU,Neches,Lower Neches,1,-,Yellow,-,-,NA,NEW,1,3
152,10/5/2021,GLUE-GLUE-,NA,GLRO,Neches,Lower Neches,1,-,GLUE,-,-,NA,NEW,1,3
153,10/5/2021,GLUE-GLUE-,NA,GLRO,Neches,Lower Neches,1,-,GLUE,-,-,NA,NEW,1,3
154,10/5/2021,GLUE-GLUE-,NA,GLRO,Neches,Lower Neches,1,-,GLUE,-,-,NA,NEW,1,3
155,10/5/2021,GLUE-GLUE-,NA,GLRO,Neches,Lower Neches,1,-,GLUE,-,-,NA,NEW,1,3
156,10/5/2021,GLUE-GLUE-,NA,GLRO,Neches,Lower Neches,1,-,GLUE,-,-,NA,NEW,1,3
157,10/5/2021,GLUE-GLUE-,NA,GLRO,Neches,Lower Neches,1,-,GLUE,-,-,NA,NEW,1,3
158,10/5/2021,GLUE-GLUE-,NA,GLRO,Neches,Lower Neches,1,-,GLUE,-,-,NA,NEW,1,3
159,10/5/2021,GLUE-GLUE-,NA,GLRO,Neches,Lower Neches,1,-,GLUE,-,-,NA,NEW,1,3
160,10/5/2021,GLUE-GLUE-,NA,GLRO,Neches,Lower Neches,1,-,GLUE,-,-,NA,NEW,1,3
161,10/5/2021,GLUE-GLUE-,NA,GLRO,Neches,Lower Neches,1,-,GLUE,-,-,NA,NEW,1,3
162,10/5/2021,GLUE-GLUE-,NA,GLRO,Neches,Lower Neches,1,-,GLUE,-,-,NA,NEW,1,3
163,10/5/2021,GLUE-GLUE-,NA,GLRO,Neches,Lower Neches,1,-,GLUE,-,-,NA,NEW,1,3
164,10/5/2021,GLUE-GLUE-,NA,GLRO,Neches,Lower Neches,1,-,GLUE,-,-,NA,NEW,1,3
165,10/5/2021,GLUE-GLUE-,NA,GLRO,Neches,Lower Neches,1,-,GLUE,-,-,NA,NEW,1,3
166,10/5/2021,GLUE-GLUE-,NA,GLRO,Neches,Lower Neches,1,-,GLUE,-,-,NA,NEW,1,3
167,10/5/2021,GLUE-GLUE-,NA,GLRO,Neches,Lower Neches,1,-,GLUE,-,-,NA,NEW,1,3
168,10/5/2021,GLUE-GLUE-,NA,GLRO,Neches,Lower Neches,1,-,GLUE,-,-,NA,NEW,1,3
169,10/5/2021,GLUE-GLUE-,NA,GLRO,Neches,Lower Neches,1,-,GLUE,-,-,NA,NEW,1,3
