species_2,binomial,common
AMPL,Amblema plicata,Threeridge
CYPU,Cyclonaias pustulosa,Pimpleback
FUCH,"Fusconaia chunii 
(Fusconaia askewi)",Texas Pigtoe
GLRO,Glebula rotundata,Round Pearlshell
LAHY,Lampsilis hydiana,Louisiana Fatmucket
LASA,Lampsilis satura,Sandbank Pocketbook
LATE,Lampsilis teres,Yellow Sandshell
MENE,Megalonaias nervosa,Washboard
OBRE,Obliquaria reflexa,Threehorn Wartyback
PLDO,Plectomerus dombeyanus,Bankclimber
PLRI,Pleurobema riddellii,Louisiana Pigtoe
POAM,Potamilus amphichaenus,Texas Heelsplitter
POFR,Potamilus fragilis,Fragile Papershell
POPU,Potamilus purpuratus,Bleufer
PYGR,Pyganodon grandis,Giant Floater
QUQU,Quadrula quadrula,Mapleleaf
TOTE,Toxolasma texasiense,Texas Lilliput
TRDO,Truncilla donaciformis,Fawnsfoot
TRNO,Tritogonia nobilis,Gulf Mapleleaf
TRVE,Tritogonia verrucosa,Pistolgrip
CYNO,Cyclonaias nodulata,Wartyback
ARCO,Arcidens confragosus,Rock Pocketbook
