binomial,common,Lower Neches,Rockland
Amblema plicata,Threeridge,91,210
Arcidens confragosus,Rock Pocketbook,1,NA
Cyclonaias nodulata,Wartyback,1,NA
Cyclonaias pustulosa,Pimpleback,18,188
Fusconaia chunii 
(Fusconaia askewi),Texas Pigtoe,NA,12
Glebula rotundata,Round Pearlshell,119,NA
Lampsilis hydiana,Louisiana Fatmucket,13,7
Lampsilis satura,Sandbank Pocketbook,1,NA
Lampsilis teres,Yellow Sandshell,50,33
Megalonaias nervosa,Washboard,12,32
Obliquaria reflexa,Threehorn Wartyback,110,37
Plectomerus dombeyanus,Bankclimber,96,131
Pleurobema riddellii,Louisiana Pigtoe,NA,39
Potamilus amphichaenus,Texas Heelsplitter,10,6
Potamilus fragilis,Fragile Papershell,1,11
Potamilus purpuratus,Bleufer,13,233
Pyganodon grandis,Giant Floater,5,NA
Quadrula quadrula,Mapleleaf,317,13
Tritogonia nobilis,Gulf Mapleleaf,213,32
Tritogonia verrucosa,Pistolgrip,NA,23
Truncilla donaciformis,Fawnsfoot,1,1
