"","lower","upper"
"C000",5,0
"C001",3,0
"C002",3,0
"C003",1,0
"C004",1,0
"C005",1,0
"C006",2,0
"C007",1,0
"C008",1,0
"C009",3,0
"C010",1,0
"C011",3,0
"C012",3,0
"C013",1,0
"C015",1,0
"C016",3,0
"C017",2,0
"C018",1,0
"C019",2,0
"C020",1,0
"C021",1,0
"C022",1,0
"C023",1,0
"C024",1,0
"C025",1,0
"C026",1,0
"C027",1,0
"C028",3,0
"C029",2,0
"C030",3,0
"C031",1,0
"C032",1,0
"C033",1,0
"C034",1,0
"C035",1,0
"C036",1,0
"C037",1,0
"C038",2,0
"C039",2,0
"C040",1,0
"C041",1,0
"C042",1,0
"C043",2,0
"C044",1,0
"C045",1,0
"C046",1,0
"C047",1,0
"C048",4,0
"C049",1,0
"C050",4,0
"C051",4,0
"C052",1,0
"C053",1,0
"C054",1,0
"C055",1,0
"C056",1,0
"C057",1,0
"C058",1,0
"C059",2,0
"C060",1,0
"C061",3,0
"C062",4,0
"C063",1,0
"C064",1,0
"C065",1,0
"C066",1,0
"C067",3,0
"C068",2,0
"C069",1,0
"C070",1,0
"C071",2,0
"C072",1,0
"C073",1,0
"C074",1,0
"C075",4,0
"C076",1,0
"C077",3,0
"C078",2,0
"C079",2,0
"C080",1,0
"C081",1,0
"C082",1,0
"C083",4,0
"C084",3,0
"C085",1,0
"C086",1,0
"C087",1,0
"C088",1,0
"C090",1,0
"C091",2,0
"C092",2,0
"C093",1,0
"C094",2,0
"C095",3,0
"C096",4,0
"C097",2,0
"C098",3,0
"C099",1,0
"C100",1,0
"C101",2,0
"C102",1,0
"C103",1,0
"C104",2,0
"C105",3,0
"C110",1,0
"C111",2,0
"C112",1,0
"C113",2,0
"C114",1,0
"C115",1,0
"C116",1,0
"C117",4,0
"C118",1,0
"C119",2,0
"C120",1,0
"C121",1,0
"C122",3,0
"C123",1,0
"C124",1,0
"C125",1,0
"C126",1,0
"C127",1,0
"C128",1,0
"C129",10,0
"C130",1,0
"C131",1,0
"C132",1,0
"C133",1,0
"C134",2,0
"C135",1,0
"C136",1,0
"C137",1,0
"C138",4,0
"C139",1,0
"C140",1,0
"C141",1,0
"C142",5,0
"C143",1,0
"C144",1,0
"C145",2,0
"C146",1,0
"C147",1,0
"C148",3,0
"C149",2,0
"C150",1,0
"C151",1,0
"C152",1,0
"C153",3,0
"C154",2,0
"C155",1,0
"C156",1,0
"C157",1,0
"C158",1,0
"C159",1,0
"C160",1,0
"C161",1,0
"C162",1,0
"C163",4,0
"C164",1,0
"C165",1,0
"C166",1,0
"C167",2,0
"C168",1,0
"C169",4,0
"C170",8,0
"C172",1,0
"C173",1,0
"C174",3,0
"C175",1,0
"C176",4,0
"C177",4,0
"C179",1,0
"C180",4,0
"C181",1,0
"C182",2,0
"C183",4,0
"C184",1,0
"C185",1,0
"C187",1,0
"C188",1,0
"C189",2,0
"C190",1,0
"C191",1,0
"C192",1,0
"C193",2,0
"C194",2,0
"C195",1,0
"C196",1,0
"C197",1,0
"C198",1,0
"C199",2,0
"C200",1,0
"C201",2,0
"C202",3,0
"C203",1,0
"C204",2,0
"C205",2,0
"C206",1,0
"C207",1,0
"C208",1,0
"C209",1,0
"C211",4,0
"C212",2,0
"C213",3,0
"C214",1,0
"C215",1,0
"C216",1,0
"C217",1,0
"C218",1,0
"C220",1,0
"C221",1,0
"C222",1,0
"C223",1,0
"C224",2,0
"C225",1,0
"C226",1,0
"C227",4,0
"C228",1,0
"C229",1,0
"C230",2,0
"C235",1,0
"C236",1,0
"C237",1,0
"C238",1,0
"C239",1,0
"C240",1,0
"C241",1,0
"C242",1,0
"C243",2,0
"C244",1,0
"C245",1,0
"C246",1,0
"C247",4,0
"C248",2,0
"C249",1,0
"C250",1,0
"C251",1,0
"C252",1,0
"C253",2,0
"C254",2,0
"C255",1,0
"C256",3,0
"C257",2,0
"C258",3,0
"C259",1,0
"C260",3,0
"C261",1,0
"C262",1,0
"C263",2,0
"C264",2,0
"C265",3,0
"C266",1,0
"C267",1,0
"C268",1,0
"C269",1,0
"C270",2,0
"C271",2,0
"C272",1,0
"C273",1,0
"C274",1,0
"C275",2,0
"C276",1,0
"C277",1,0
"C278",1,0
"C279",1,0
"C281",4,0
"C282",1,0
"C285",2,0
"C286",1,0
"C287",1,0
"C288",2,0
"C289",1,0
"C290",1,0
"C291",1,0
"C292",4,0
"C293",1,0
"C294",3,0
"C295",3,0
"C296",1,0
"C297",2,0
"C298",3,0
"C299",1,0
"C300",2,0
"C301",2,0
"C302",1,0
"C303",1,0
"C304",2,0
"C305",1,0
"C306",1,0
"C307",2,0
"C308",2,0
"C311",1,0
"C312",1,0
"C313",1,0
"C316",1,0
"C317",1,0
"C319",1,0
"C320",1,0
"C321",1,0
"C322",1,0
"C323",3,0
"C324",1,0
"C325",1,0
"C326",1,0
"C327",1,0
"C328",1,0
"C330",1,0
"C331",1,0
"C332",4,0
"C333",1,0
"C339",1,0
"C340",1,0
"C341",1,0
"C342",1,0
"C343",3,0
"C344",1,0
"C345",4,0
"C346",1,0
"C347",2,0
"C348",2,0
"C349",2,0
"C350",1,0
"C351",1,0
"C352",3,0
"C353",4,0
"C354",3,0
"C355",2,0
"C356",1,0
"C357",4,0
"C358",1,0
"C359",1,0
"C360",1,0
"C361",1,0
"C362",1,0
"C363",3,0
