species_2,binomial,common
AMPL,Amblema plicata,Threeridge
ARCO,Arcidens confragosus,Rock Pocketbook
CYPU,Cyclonaias pustulosa,Pimpleback
FUCH,"Fusconaia chunii 
(Fusconaia askewi)",Texas Pigtoe
LAHY,Lampsilis hydiana,Louisiana Fatmucket
LASA,Lampsilis satura,Sandbank Pocketbook
LATE,Lampsilis teres,Yellow Sandshell
LEFR,Potamilus fragilis,Fragile Papershell
MENE,Megalonaias nervosa,Washboard
OBRE,Obliquaria reflexa,Threehorn Wartyback
PLDO,Plectomerus dombeyanus,Bankclimber
PLRI,Pleurobema riddellii,Louisiana Pigtoe
POAM,Potamilus amphichaenus,Texas Heelsplitter
POPU,Potamilus purpuratus,Bleufer
QUAP,Quadrula quadrula,Mapleleaf
STUN,Strophitus undulatus,Creeper
TRTR,Truncilla truncata,Deertoe
TRVE,Tritogonia verrucosa,Pistolgrip
UTIM,Utterbackia imbecillis,Paper Pondshell
VILI,Villosa lienosa,Little spectaclecase
POFR,Potamilus fragilis ,Fragile Papershell
