binomial,common,lower,upper
Amblema plicata,Threeridge,1,1
Arcidens confragosus,Rock Pocketbook,1,15
Cyclonaias pustulosa,Pimpleback,56,179
Fusconaia chunii 
(Fusconaia askewi),Texas Pigtoe,313,111
Lampsilis hydiana,Louisiana Fatmucket,NA,2
Lampsilis satura,Sandbank Pocketbook,6,44
Lampsilis teres,Yellow Sandshell,56,45
Megalonaias nervosa,Washboard,19,29
Obliquaria reflexa,Threehorn Wartyback,22,50
Plectomerus dombeyanus,Bankclimber,NA,13
Pleurobema riddellii,Louisiana Pigtoe,NA,179
Potamilus amphichaenus,Texas Heelsplitter,3,5
Potamilus fragilis ,Fragile Papershell,22,5
Potamilus purpuratus,Bleufer,29,22
Quadrula quadrula,Mapleleaf,44,191
Strophitus undulatus,Creeper,NA,5
Tritogonia verrucosa,Pistolgrip,124,188
Truncilla truncata,Deertoe,6,52
Utterbackia imbecillis,Paper Pondshell,7,NA
Villosa lienosa,Little spectaclecase,NA,1
